,CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,parentesco(CH3),genero(CH04),edad(CH06),cob_medica(CH08),NIVEL_ED,CAT_OCUP,CAT_INAC,AE_ctrol_ind,AE_ctrol_ind_sum,adulto_equivalente,pobreza
4,TQRMNOSQWHJOKNCDEOJAH00794457,2022,4,1,1,44,N,93,89,1,,3,1,,3,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,50000,1,1.0,1,,1.0,1,16666.67,1,1.0,1,,1.0,1,112,1,0,96,0,0,0,1,2,44,1,6,3,0,0.77,2.56,19531.25,1
6,TQRMNOQVSHKMKPCDEOJAH00793041,2022,4,1,1,44,N,93,99,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,80000,3,3.0,2,,3.0,2,20000.0,1,2.0,1,,2.0,1,117,2,0,98,0,0,0,1,1,45,4,3,2,0,1.0,3.55,22535.21,1
7,TQRMNOQPXHKKKQCDEOJAH00793105,2022,4,1,1,44,N,93,138,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,0,3,120000,5,5.0,3,,5.0,3,40000.0,4,4.0,3,,4.0,3,180,1,0,98,0,0,0,1,2,51,1,6,3,0,0.76,2.55,47058.82,1
11,TQRMNOQTYHLMKRCDEFLID00714984,2022,4,1,1,43,S,5,359,1,,3,1,,1,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,2,,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,46000,1,1.0,1,1.0,,1,23000.0,2,2.0,2,2.0,,2,543,2,0,98,0,0,0,1,2,80,1,2,0,1,0.63,1.46,31506.85,1
18,TQRMNORVPHMMTRCDEIJAH00719603,2022,4,1,1,1,S,33,1410,1,,4,1,,3,1,1,2,,1,1,1,1,2,2,2,4,3,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,5,1,4,160000,6,,6,6.0,,7,32000.0,3,,3,3.0,,3,2825,2,0,98,0,0,0,1,1,52,1,3,3,0,1.0,4.1,39024.39,1
19,TQRMNOSPRHJMTSCDEIJAH00794463,2022,4,1,1,1,S,33,1744,1,,3,2,,2,1,1,4,TANQUE COMUNITARIO,1,1,2,2,2,2,2,3,2,2,0,2,2,2,0,0,0,0,6,,2,,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,5,0,5,40000,1,,1,1.0,,1,8000.0,1,,1,1.0,,1,1413,1,0,98,0,0,0,1,2,40,4,1,0,0,0.77,3.89,10282.78,1
20,TQRMNOPYWHJOTUCDEIJAH00794464,2022,4,1,1,1,S,33,2398,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,20000,1,,1,1.0,,1,20000.0,1,,1,1.0,,2,3926,1,0,98,0,0,0,1,2,55,1,4,3,0,0.76,0.76,26315.79,1
26,TQRMNOPSPHKOKTCDEGKDB00789251,2022,4,1,1,43,N,14,138,1,,1,2,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,2,6,0,6,49000,1,1.0,1,,1.0,2,8166.67,1,1.0,1,,1.0,1,235,2,0,98,0,0,0,1,1,46,1,3,3,0,1.0,5.18,9459.46,1
28,TQRMNOQTVHLMKTCDEGKDB00716286,2022,4,2,1,43,N,14,84,1,,1,1,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,2,2,2,0,0,0,0,3,,2,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,28000,1,1.0,1,,1.0,1,28000.0,2,3.0,2,,3.0,3,62,1,0,98,0,0,0,1,2,60,3,2,0,1,0.76,0.76,36842.11,1
35,TQRMNOPVXHKMKMCDEGKDB00789228,2022,4,1,1,43,N,14,114,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,2,49000,1,1.0,1,,1.0,2,24500.0,2,2.0,2,,2.0,3,162,2,0,98,0,0,0,1,2,82,1,2,0,1,0.63,1.46,33561.64,1
